Red5-DHCP — Panels · Controllers · I/O   (26.07.30 panel schedule (판넬별 포인트 정리 · 델타 컨트롤러 및 모듈 포함))
67 panels · 904 Delta controllers+modules · 4467 used pts · 5240 capacity · overlap 1160 / new-TBD 3307 / spare 773

No,Panel,Floor,Equipment served,ROOM,CON-T1L,EXPAND-04,4F4xP,8xP,8PxP,DO,DI,BTOT,AI,AO,Used,Cap,Note
1,RS-PH2-1,PH2,,1,1,2,0,6,3,0,42,24,0,0,66,72,
2,RS-PH1-3,PH1,,2,1,4,11,6,4,44,65,32,24,0,165,166,
3,CP-PH1-3,PH1,,1,1,0,0,2,1,0,0,4,7,2,13,14,
4,CP-R-1,PH1,,1,1,0,2,0,0,5,6,0,1,1,13,24,
5,RCP-PH1-3,PH1,,2,1,2,15,0,0,58,25,0,14,3,100,118,
6,RCP-PH1-2,PH1,"AC-24, EVU-11, EVU-13",2,1,2,16,0,0,64,28,0,18,6,116,132,
7,RCP-PH1-1,PH1,"AC-22, AC-23. EVU-15",2,1,2,12,0,1,45,25,2,8,4,84,116,
8,CP-PH-1,PH1,,1,1,2,4,5,0,14,42,0,7,2,65,76,
9,RS-PH1-1,PH1,,1,1,2,4,6,2,14,41,14,16,3,88,100,
10,RS-31-1,31F,,2,1,3,16,0,2,61,45,14,18,0,138,164,
11,RS-21-1,21F,,2,1,4,16,3,2,61,58,9,24,0,152,170,
12,RS-10-1,10F,,2,1,3,17,2,1,65,57,8,19,2,151,164,
13,RCP-4-1,4F,EVU-8,1,1,1,5,0,1,19,8,2,6,2,37,40,속판 650*1300 (제일 많은 사이즈)
14,RCP-4-2,4F,"AC-17, AC-21, EVU-9",2,1,2,12,0,2,45,22,11,12,6,96,114,
15,RCP-4-3,4F,"AC-20, EVU-10",1,1,1,7,0,1,28,12,3,8,2,53,74,
16,RCP-4-4,4F,"AC-18, AC-19",1,1,2,8,0,1,29,15,4,8,3,59,74,
17,CP-4-4,4F,,1,1,0,1,1,0,1,7,0,1,0,9,20,
18,RS-4-1,4F,,2,1,2,7,2,4,28,38,32,2,2,102,110,속판 580*1800
19,RS-4-2,4F,,2,1,3,12,2,4,46,59,29,2,0,136,172,
20,RCP-3-1,3F,AC-14,1,1,1,4,0,1,16,8,4,6,1,35,40,
21,RCP-3-2,3F,"AC-15, AC-16, EVU-7",1,1,2,9,1,1,35,23,5,11,5,79,98,
22,RS-3-1,3F,,2,1,2,7,7,1,26,74,8,4,0,112,128,
23,RS-3-2A,3F,,2,1,4,13,4,6,50,60,44,16,2,172,182,RH (AI 4개짜리) 2개 사용 8개 포인트 중 8개 사용 AI기존 포인트에 +8 적용
24,RS-3-2B,3F,,0,0,0,0,0,0,38,26,0,4,2,70,70,
25,RCP-2-2,2F,"AC-11, AC-12, AC-13, EVU-4, EVU-5",2,1,4,22,0,0,87,22,0,37,3,149,170,
26,RCP-2-3,2F,,1,1,2,8,0,1,30,16,5,9,4,64,76,
27,RS-2-1,2F,,1,1,0,0,1,2,0,8,15,0,0,23,24,
28,RS-2-2,2F,,2,1,2,7,2,4,27,34,31,10,0,102,124,"RH (AI 4개짜리) 1개 사용 (4포인트 모두 사용), AARH(AI4개짜리) 1개 사용 (4개 중 2 포인트 사용) - 포인트 적용함"
29,RS-2-3,2F,,2,1,2,8,1,4,30,35,31,0,0,96,104,
67,EVU-6,2F,,1,1,0,3,1,0,9,7,0,7,1,24,34,
30,RCP-1-1,1F,EVU-1,1,1,0,3,0,0,11,8,0,4,0,23,26,
31,RCP-1-2,1F,"AC-7, EVU-2",1,1,2,8,0,1,29,16,4,7,2,58,68,
32,RCP-1-3,1F,EVU-3,1,1,1,5,0,0,19,8,0,4,0,31,34,
33,RS-1-1,1F,,1,1,1,4,1,1,14,18,3,4,0,39,48,
34,RS-1-2,1F,,1,1,2,7,1,2,26,29,16,2,0,73,88,
35,RCP-B1-1,B1F,AC-5,1,1,1,3,1,1,11,7,4,4,2,28,34,
36,RCP-B1-2,B1F,"AC-2, AC-2 (CO2), AC-6",1,1,2,10,1,1,40,29,3,9,3,84,116,속판 사이즈 650*1400
37,RCP-B1-3,B1F,AC-4,1,1,1,4,0,1,15,4,1,3,1,24,40,속판 사이즈 600*1100
38,RCP-B1-4,B1F,AC-2,1,1,1,4,1,0,14,18,0,3,0,35,44,
39,RCP-B1-5,B1F,"PCU-11, PCU-13",1,1,0,4,0,0,14,8,0,4,0,26,28,
40,CP-B1-2,B1F,"PCU-8, PCU-9, PCU-10",1,1,2,9,0,0,34,6,0,9,0,49,58,
41,CP-B1-3,B1F,,1,1,0,4,0,0,0,0,0,0,0,0,0,
42,CP-B1-4,B1F,"PCU-5, PCU-6, PCU-7-1, PCU-7-2",1,1,2,12,0,0,48,8,0,12,0,68,80,
43,RS-B1-1,B1F,,1,1,1,3,1,3,12,16,23,0,0,51,56,
44,RS-B1-2,B1F,,2,1,2,10,3,2,40,52,10,12,0,114,122,RH 제품 2개 있음 풀 사용 적용 속판 사이즈 600*1800
45,RS-B1-3,B1F,,1,1,1,5,2,1,18,19,7,16,0,60,72,RH 제품 2개 있음 풀 사용 적용
46,시스템 제어반,B2F,,6,16,0,0,4,0,0,25,0,0,0,25,32,
47,RCP-B2-1,B2F,AC-3,1,1,1,4,0,1,16,5,1,5,2,29,40,
48,RCP-B2-2,B2F,"SF-10, SF-11, EF-10, EF-11",1,1,1,3,1,1,9,12,4,2,4,31,52,
49,RCP-B2-3,B2F,"SF-12, EF-12",1,1,0,2,1,1,5,6,2,1,2,16,26,
50,RCP-B2-4,B2F,,1,1,0,4,0,0,0,0,0,0,0,0,0,
51,CP-B2-3,B2F,AC-26,1,1,1,6,0,0,22,4,0,2,0,28,36,
52,CP-B2-4,B2F,,1,1,1,3,4,0,12,36,0,6,0,54,72,
53,RS-B2-1,B2F,,1,1,2,6,4,1,22,37,4,9,4,76,92,
54,RS-B2-2,B2F,,1,1,2,7,3,1,28,34,4,11,1,78,90,
55,RS-B2-3,B2F,,1,1,1,4,3,1,15,40,4,0,0,59,60,
56,RS-B2-4B,B2F,,2,1,2,4,11,1,15,78,8,23,0,124,128,
57,RS-B2-4A,B2F,,0,0,0,0,0,0,0,0,8,23,0,31,32,
58,RS-B2-5,B2F,,2,1,2,3,6,5,9,51,33,4,0,97,120,
59,RS-B2-6,B2F,,1,1,2,4,4,3,13,42,24,4,0,83,92,
60,RS-B2-7,B2F,,2,1,3,11,4,2,42,75,12,0,0,129,140,
66,P-1,B2F or B3F (추정),,1,1,0,4,0,0,0,0,0,0,0,0,0,
61,RCP-B3-1,B3F,AC-1,1,1,1,4,0,1,15,4,2,5,2,28,40,
62,RCP-B3-2,B3F,"SF-3, EF-2",1,1,0,2,1,1,5,6,2,1,2,16,26,
63,RCP-B3-3,B3F,"SF-4, SF-5, EF-3, EF-4",1,1,1,3,1,1,9,12,4,2,4,31,52,
64,CP-B3-2,B3F,,1,1,1,1,3,1,3,12,8,9,1,33,54,
65,RS-B3-1,B3F,,2,1,4,6,14,2,23,126,12,6,0,167,172,
TOTAL,,,,90,80,100,422,127,85,1583,1759,534,505,86,4467,5240,
